Date,Time,Open,High,Low,Close,Volume
2017.03.03,09:00,12005.0,12023.3,11991.5,12004.5,1589
2017.03.03,10:00,12004.3,12012.3,11992.5,11992.5,886
2017.03.03,11:00,11992.8,12040.0,11991.8,12036.5,1284
2017.03.03,12:00,12036.0,12054.3,12024.5,12039.8,1198
2017.03.03,13:00,12039.5,12045.0,12022.5,12025.0,990
2017.03.03,14:00,12024.5,12037.8,12011.8,12025.3,916
2017.03.03,15:00,12025.0,12035.8,12007.5,12007.5,1251
2017.03.03,16:00,12007.8,12015.8,11992.5,12010.5,1630
2017.03.03,17:00,12009.5,12027.8,12006.5,12023.5,1167
2017.03.03,18:00,12023.0,12045.3,12020.8,12040.0,575
2017.03.03,19:00,12036.3,12044.5,12028.8,12033.8,615
2017.03.03,20:00,12033.5,12036.0,12020.5,12027.0,533
2017.03.03,21:00,12026.5,12029.8,12012.5,12014.8,582
2017.03.06,08:00,11991.0,11995.3,11957.3,11960.8,814
2017.03.06,09:00,11959.0,11962.3,11925.5,11936.0,1767
2017.03.06,10:00,11935.5,11995.0,11931.0,11994.0,1397
2017.03.06,11:00,11993.5,11998.5,11955.0,11965.3,991
2017.03.06,12:00,11965.0,11982.3,11963.0,11979.8,692
2017.03.06,13:00,11979.5,11982.8,11967.3,11981.3,620
2017.03.06,14:00,11981.0,11986.8,11968.0,11970.3,609
2017.03.06,15:00,11971.0,11976.3,11955.0,11961.5,976
2017.03.06,16:00,11961.8,11961.8,11916.5,11931.5,1541
2017.03.06,17:00,11932.5,11964.0,11928.3,11955.5,1617
2017.03.06,18:00,11955.0,11962.3,11951.8,11957.5,452
2017.03.06,19:00,11958.0,11986.8,11957.5,11974.0,623
2017.03.06,20:00,11974.3,11977.8,11964.3,11968.3,351
2017.03.06,21:00,11968.0,11988.5,11968.0,11978.5,508
2017.03.07,08:00,11987.5,11987.5,11960.5,11963.0,651
2017.03.07,09:00,11962.0,11977.0,11939.0,11972.8,1775
2017.03.07,10:00,11973.5,11984.8,11964.3,11969.0,3247
2017.03.07,11:00,11969.3,11987.8,11964.3,11964.5,3139
2017.03.07,12:00,11964.3,11969.8,11952.8,11960.5,2634
2017.03.07,13:00,11960.3,11973.8,11955.5,11968.5,1395
2017.03.07,14:00,11969.0,11972.5,11962.8,11967.5,540
2017.03.07,15:00,11966.5,11967.5,11931.3,11941.3,1089
2017.03.07,16:00,11941.0,11976.3,11939.5,11954.0,1286
2017.03.07,17:00,11955.3,11969.5,11949.0,11967.0,995
2017.03.07,18:00,11966.5,11971.8,11962.5,11970.5,547
2017.03.07,19:00,11971.0,11973.8,11964.5,11964.5,490
2017.03.07,20:00,11964.3,11972.0,11964.3,11971.3,388
2017.03.07,21:00,11971.0,11971.0,11950.0,11953.8,554
2017.03.08,08:00,11928.8,11941.5,11919.0,11925.0,1730
2017.03.08,09:00,11924.8,11978.3,11914.8,11970.5,11065
2017.03.08,10:00,11970.3,12017.5,11963.3,12005.8,7505
2017.03.08,11:00,12005.5,12016.5,11991.5,11996.5,3484
2017.03.08,12:00,11996.8,12001.3,11925.3,11938.0,8479
2017.03.08,13:00,11938.3,11990.3,11930.0,11978.0,5993
2017.03.08,14:00,11977.8,12002.8,11971.3,11991.0,6448
2017.03.08,15:00,11991.3,12009.0,11982.5,11986.5,2560
2017.03.08,16:00,11987.0,11988.8,11961.0,11976.3,2556
2017.03.08,17:00,11976.0,11983.5,11957.8,11964.0,5574
2017.03.08,18:00,11963.8,11973.5,11962.0,11972.5,2247
2017.03.08,19:00,11972.3,11981.5,11969.0,11972.5,1892
2017.03.08,20:00,11972.8,11974.5,11952.0,11963.3,661
2017.03.08,21:00,11963.0,11965.8,11934.5,11940.8,704
2017.03.09,08:00,11945.0,11956.3,11924.8,11926.3,818
2017.03.09,09:00,11925.3,11961.0,11915.5,11956.5,1969
2017.03.09,10:00,11957.0,11961.0,11927.3,11934.0,3644
2017.03.09,11:00,11933.8,11945.5,11924.3,11940.0,3997
2017.03.09,12:00,11939.8,11944.5,11926.3,11939.0,3102
2017.03.09,13:00,11939.3,11941.5,11925.0,11929.0,3546
2017.03.09,14:00,11928.8,11978.5,11927.8,11969.5,11338
2017.03.09,15:00,11969.8,11991.5,11946.3,11982.0,12567
2017.03.09,16:00,11982.3,12024.0,11957.5,11970.0,6084
2017.03.09,17:00,11970.3,11985.8,11968.5,11979.5,1274
2017.03.09,18:00,11979.8,11981.3,11969.5,11977.5,454
2017.03.09,19:00,11977.0,11979.0,11965.0,11966.3,504
2017.03.09,20:00,11965.8,11966.5,11939.3,11956.5,965
2017.03.09,21:00,11957.0,11985.8,11956.0,11984.5,812
2017.03.10,08:00,12008.3,12034.5,12006.8,12020.0,774
2017.03.10,09:00,12019.0,12044.8,12003.0,12039.0,1727
2017.03.10,10:00,12038.3,12049.5,12028.8,12040.3,1147
2017.03.10,11:00,12040.8,12058.3,12037.0,12057.5,818
2017.03.10,12:00,12058.3,12064.8,12051.3,12054.5,732
2017.03.10,13:00,12054.8,12054.8,12037.0,12045.0,682
2017.03.10,14:00,12044.5,12055.8,12033.3,12046.5,1220
2017.03.10,15:00,12047.0,12047.3,11972.3,11997.0,2113
2017.03.10,16:00,11997.8,12004.0,11945.8,11952.3,4029
2017.03.10,17:00,11949.5,11968.5,11931.8,11962.8,1953
2017.03.10,18:00,11962.5,11968.5,11937.0,11943.0,680
2017.03.10,19:00,11943.3,11948.8,11930.5,11946.8,732
2017.03.10,20:00,11947.8,11958.8,11944.5,11953.5,582
2017.03.10,21:00,11953.8,11965.5,11951.8,11959.0,529
